Hospital Name,Beds Available,Ventilators Available,ICU Available,Location Type,Emergency Department,Pediatric Care,Specialized Department,Ambulance Services,Year of Establishment
Hospital 3341,196,38,45,Urban,Yes,Yes,None,Yes,1952
Hospital 3342,102,4,69,Rural,Yes,No,None,Yes,2021
Hospital 3343,446,87,2,Urban,Yes,No,General,Yes,1985
Hospital 3344,262,19,99,Rural,Yes,Yes,Oncology,No,1965
Hospital 3345,457,84,61,Urban,Yes,Yes,Oncology,Yes,1976
Hospital 3346,324,51,65,Urban,No,Yes,Cardiology,No,1955
Hospital 3347,69,90,83,Urban,No,Yes,None,No,1985
Hospital 3348,41,54,37,Rural,Yes,No,Orthopedics,Yes,2002
Hospital 3349,266,39,67,Urban,Yes,Yes,None,Yes,1977
Hospital 3350,23,64,73,Rural,No,No,Oncology,Yes,2007
Hospital 3351,451,72,43,Urban,Yes,Yes,Oncology,Yes,2004
Hospital 3352,164,23,84,Rural,No,Yes,None,No,2003
Hospital 3353,339,62,90,Urban,Yes,Yes,Orthopedics,No,2013
Hospital 3354,118,54,54,Urban,Yes,Yes,Neurology,No,1998
Hospital 3355,129,24,84,Urban,No,No,Oncology,Yes,2011
Hospital 3356,190,56,62,Urban,No,Yes,Neurology,Yes,1984
Hospital 3357,279,29,83,Urban,Yes,Yes,General,Yes,1970
Hospital 3358,337,95,97,Urban,Yes,Yes,Neurology,No,2002
Hospital 3359,339,86,37,Urban,Yes,Yes,Cardiology,Yes,1963
Hospital 3360,217,96,3,Urban,No,Yes,Cardiology,No,1993
Hospital 3361,36,66,23,Rural,Yes,Yes,None,Yes,2000
Hospital 3362,304,15,55,Rural,No,Yes,Cardiology,No,1963
Hospital 3363,254,51,60,Rural,Yes,No,Oncology,Yes,1958
Hospital 3364,474,45,47,Rural,Yes,Yes,Cardiology,Yes,1981
Hospital 3365,309,60,45,Urban,Yes,No,Neurology,Yes,1954
Hospital 3366,485,47,89,Rural,No,No,Orthopedics,No,2020
Hospital 3367,95,64,27,Rural,Yes,No,None,No,2006
Hospital 3368,153,27,53,Rural,Yes,Yes,Neurology,Yes,1979
Hospital 3369,98,33,69,Rural,Yes,No,Orthopedics,No,1970
Hospital 3370,289,87,95,Urban,No,Yes,Cardiology,Yes,2013
Hospital 3371,291,68,2,Rural,No,Yes,Orthopedics,No,1994
Hospital 3372,489,83,0,Rural,No,Yes,None,No,1979
Hospital 3373,356,43,22,Urban,No,Yes,Cardiology,Yes,2023
Hospital 3374,180,87,52,Urban,Yes,Yes,Cardiology,No,1985
Hospital 3375,426,52,6,Rural,No,No,Orthopedics,No,2001
Hospital 3376,486,28,79,Urban,No,Yes,General,Yes,2023
Hospital 3377,109,63,69,Urban,No,No,None,Yes,1951
Hospital 3378,447,82,55,Urban,Yes,Yes,Orthopedics,No,2007
Hospital 3379,338,85,77,Urban,No,Yes,Neurology,No,2022
Hospital 3380,457,80,24,Urban,No,Yes,Orthopedics,No,1982
Hospital 3381,58,89,38,Rural,Yes,Yes,Orthopedics,No,2007
Hospital 3382,329,93,93,Urban,Yes,Yes,Cardiology,No,1996
Hospital 3383,100,99,56,Rural,Yes,No,None,No,1980
Hospital 3384,244,17,51,Rural,Yes,No,Oncology,Yes,1970
Hospital 3385,447,7,49,Rural,Yes,No,Neurology,No,2013
Hospital 3386,271,75,59,Rural,Yes,No,Neurology,No,2017
Hospital 3387,390,86,78,Urban,Yes,Yes,Cardiology,Yes,1975
Hospital 3388,447,62,63,Urban,Yes,Yes,None,Yes,1989
Hospital 3389,80,32,76,Urban,No,Yes,Cardiology,Yes,1982
Hospital 3390,469,15,54,Urban,Yes,No,Neurology,No,2019
Hospital 3391,295,66,60,Urban,No,Yes,General,No,1988
Hospital 3392,362,72,84,Urban,Yes,No,Neurology,Yes,1953
Hospital 3393,73,87,4,Urban,Yes,No,Orthopedics,Yes,1970
Hospital 3394,461,31,89,Rural,Yes,Yes,None,Yes,1958
Hospital 3395,129,15,14,Rural,Yes,Yes,Cardiology,No,1952
Hospital 3396,221,56,40,Urban,No,Yes,Oncology,No,1979
Hospital 3397,244,36,18,Urban,Yes,No,Neurology,No,1967
Hospital 3398,321,21,71,Rural,No,No,General,No,1991
Hospital 3399,394,69,34,Urban,No,Yes,None,Yes,1961
Hospital 3400,148,82,26,Urban,Yes,No,Oncology,Yes,1976
Hospital 3401,259,55,69,Urban,No,Yes,Neurology,Yes,1983
Hospital 3402,234,22,14,Rural,No,Yes,Neurology,No,1975
Hospital 3403,464,42,86,Urban,Yes,No,Orthopedics,Yes,2009
Hospital 3404,143,75,43,Rural,Yes,No,None,Yes,2018
Hospital 3405,86,78,99,Urban,No,Yes,Neurology,Yes,2007
Hospital 3406,277,32,66,Urban,No,Yes,General,Yes,1978
Hospital 3407,95,70,71,Rural,No,No,Oncology,Yes,2023
Hospital 3408,448,81,53,Urban,Yes,No,Cardiology,Yes,1997
Hospital 3409,230,93,63,Rural,Yes,No,General,No,2013
Hospital 3410,465,11,86,Urban,No,No,None,Yes,1986
Hospital 3411,402,88,24,Rural,Yes,No,None,Yes,1991
Hospital 3412,168,75,17,Rural,No,No,Cardiology,Yes,1998
Hospital 3413,78,18,87,Rural,Yes,No,Oncology,No,2014
Hospital 3414,369,96,46,Rural,No,Yes,Neurology,No,1985
Hospital 3415,72,98,30,Urban,No,Yes,Cardiology,No,1991
Hospital 3416,431,5,84,Rural,No,No,General,Yes,1985
Hospital 3417,499,47,45,Rural,Yes,Yes,Neurology,Yes,2015
Hospital 3418,379,35,61,Rural,No,No,Cardiology,Yes,1987
Hospital 3419,69,85,94,Rural,No,No,General,Yes,1986
Hospital 3420,302,53,93,Rural,No,Yes,General,Yes,1982
Hospital 3421,214,51,32,Urban,No,Yes,Cardiology,Yes,1968
Hospital 3422,99,23,41,Rural,No,Yes,Oncology,No,1953
Hospital 3423,206,55,64,Urban,No,No,Cardiology,Yes,1970
Hospital 3424,115,78,61,Urban,Yes,No,General,Yes,2011
Hospital 3425,211,20,81,Rural,No,Yes,Orthopedics,Yes,2000
Hospital 3426,401,95,64,Urban,No,No,General,No,2014
Hospital 3427,321,44,57,Urban,No,No,Oncology,Yes,2020
Hospital 3428,388,93,20,Rural,Yes,No,Orthopedics,No,1964
Hospital 3429,149,77,76,Urban,Yes,No,None,No,1987
Hospital 3430,80,90,88,Rural,Yes,Yes,Orthopedics,No,1969
Hospital 3431,398,7,68,Rural,Yes,No,None,No,1971
Hospital 3432,306,82,8,Urban,Yes,Yes,General,No,1992
Hospital 3433,218,5,6,Rural,Yes,No,Oncology,No,1971
Hospital 3434,479,59,49,Urban,No,No,None,No,1992
Hospital 3435,200,23,72,Rural,No,Yes,Orthopedics,Yes,1978
Hospital 3436,301,5,8,Rural,Yes,Yes,Neurology,Yes,1960
Hospital 3437,480,20,76,Rural,Yes,No,General,Yes,2017
Hospital 3438,144,20,73,Rural,Yes,Yes,Cardiology,Yes,1971
Hospital 3439,350,19,0,Rural,Yes,Yes,Oncology,Yes,1986
Hospital 3440,248,54,69,Urban,No,Yes,Orthopedics,Yes,1974
Hospital 3441,449,35,39,Rural,Yes,No,Neurology,Yes,1972
Hospital 3442,257,17,78,Urban,No,Yes,Cardiology,Yes,1951
Hospital 3443,34,28,5,Urban,Yes,Yes,Orthopedics,Yes,1968
Hospital 3444,96,53,48,Rural,Yes,No,Orthopedics,No,2013
Hospital 3445,269,47,57,Urban,No,No,None,Yes,1954
Hospital 3446,328,37,3,Urban,Yes,Yes,Neurology,No,2000
Hospital 3447,363,43,39,Rural,Yes,No,Cardiology,Yes,1964
Hospital 3448,413,64,65,Urban,No,Yes,Neurology,No,1983
Hospital 3449,275,45,18,Urban,Yes,No,General,Yes,2000
Hospital 3450,238,52,48,Urban,Yes,Yes,Orthopedics,Yes,1993
Hospital 3451,209,9,78,Rural,No,No,None,No,2012
Hospital 3452,442,95,99,Rural,Yes,Yes,Oncology,Yes,1954
Hospital 3453,65,31,88,Rural,No,Yes,Orthopedics,No,1969
Hospital 3454,308,89,73,Rural,Yes,No,Oncology,No,1950
Hospital 3455,22,87,8,Rural,No,Yes,None,Yes,2006
Hospital 3456,390,48,12,Urban,Yes,No,Neurology,Yes,1973
Hospital 3457,310,40,88,Rural,No,Yes,None,Yes,1980
Hospital 3458,331,42,75,Rural,No,No,Cardiology,Yes,1964
Hospital 3459,64,13,42,Rural,No,Yes,General,No,1994
Hospital 3460,198,25,68,Rural,Yes,No,None,Yes,1969
Hospital 3461,205,28,2,Urban,No,No,Cardiology,Yes,2000
Hospital 3462,360,5,79,Urban,No,Yes,Cardiology,No,1972
Hospital 3463,261,27,61,Urban,No,Yes,Cardiology,Yes,1970
Hospital 3464,336,94,33,Urban,Yes,Yes,Neurology,No,1976
Hospital 3465,182,24,83,Urban,Yes,No,Neurology,No,1981
Hospital 3466,107,65,10,Urban,Yes,No,General,Yes,1980
Hospital 3467,53,7,49,Urban,No,No,Oncology,Yes,2012
Hospital 3468,34,84,95,Urban,No,Yes,Orthopedics,No,2016
Hospital 3469,87,81,88,Urban,No,Yes,Neurology,No,2001
Hospital 3470,58,73,32,Rural,Yes,No,Cardiology,No,2003
Hospital 3471,219,62,1,Rural,No,Yes,Cardiology,No,1960
Hospital 3472,446,18,4,Rural,No,Yes,Neurology,No,1961
Hospital 3473,339,11,99,Urban,Yes,Yes,General,No,1967
Hospital 3474,142,87,53,Rural,No,Yes,General,No,1967
Hospital 3475,33,27,17,Rural,Yes,Yes,Orthopedics,No,1975
Hospital 3476,462,20,17,Rural,No,Yes,General,Yes,1982
Hospital 3477,377,24,79,Rural,Yes,Yes,Orthopedics,Yes,1967
Hospital 3478,138,77,56,Rural,No,No,None,Yes,2000
Hospital 3479,216,58,79,Rural,Yes,Yes,Neurology,No,1976
Hospital 3480,187,30,86,Rural,Yes,No,None,No,1953
Hospital 3481,378,91,4,Urban,No,Yes,Orthopedics,Yes,1994
Hospital 3482,239,1,19,Urban,Yes,No,Neurology,No,1971
Hospital 3483,397,62,13,Rural,Yes,Yes,Neurology,No,1989
Hospital 3484,318,7,73,Urban,No,Yes,General,No,1983
Hospital 3485,143,52,99,Urban,Yes,No,Cardiology,No,2021
Hospital 3486,261,28,88,Rural,Yes,Yes,General,Yes,1973
Hospital 3487,323,12,97,Urban,No,No,Oncology,Yes,2008
Hospital 3488,157,81,53,Urban,Yes,No,Orthopedics,No,2001
Hospital 3489,195,47,77,Rural,Yes,Yes,Cardiology,Yes,1989
Hospital 3490,168,9,95,Urban,Yes,No,None,No,1965
Hospital 3491,245,35,19,Urban,Yes,No,Cardiology,Yes,1962
Hospital 3492,107,17,43,Rural,Yes,No,None,No,1993
Hospital 3493,277,75,36,Urban,Yes,No,Neurology,Yes,1952
Hospital 3494,164,57,11,Rural,No,No,Cardiology,No,1992
Hospital 3495,45,90,47,Urban,No,No,Oncology,Yes,1984
Hospital 3496,287,31,80,Rural,Yes,No,Orthopedics,Yes,1955
Hospital 3497,381,32,97,Urban,No,No,Oncology,No,2015
Hospital 3498,467,66,11,Urban,No,Yes,Oncology,Yes,2011
Hospital 3499,493,52,91,Rural,Yes,Yes,General,Yes,1980
Hospital 3500,443,80,41,Rural,No,No,General,Yes,1991
Hospital 3501,242,14,3,Urban,Yes,Yes,General,Yes,2022
Hospital 3502,467,21,93,Rural,No,No,Orthopedics,Yes,1957
Hospital 3503,309,32,77,Urban,No,Yes,Oncology,Yes,1953
Hospital 3504,198,53,94,Rural,No,Yes,None,No,2015
Hospital 3505,374,25,22,Urban,No,Yes,Orthopedics,No,1989
Hospital 3506,296,50,96,Rural,Yes,No,Orthopedics,No,2013
Hospital 3507,65,81,32,Rural,No,No,Neurology,No,1977
Hospital 3508,341,92,70,Urban,No,Yes,Neurology,Yes,2011
Hospital 3509,338,57,81,Urban,No,No,Neurology,No,2009
Hospital 3510,21,83,3,Rural,Yes,Yes,Oncology,Yes,1976
Hospital 3511,322,0,3,Rural,Yes,Yes,Cardiology,Yes,1969
Hospital 3512,389,49,54,Urban,No,Yes,Neurology,No,1959
Hospital 3513,31,22,71,Urban,No,No,None,No,2000
Hospital 3514,22,22,7,Rural,No,No,Cardiology,No,2015
Hospital 3515,444,13,100,Urban,Yes,Yes,None,Yes,1963
Hospital 3516,456,37,23,Urban,Yes,No,Neurology,Yes,2009
Hospital 3517,340,62,45,Rural,Yes,Yes,None,No,2007
Hospital 3518,206,19,43,Rural,No,Yes,Cardiology,No,2006
Hospital 3519,411,89,37,Urban,Yes,No,General,No,1979
Hospital 3520,375,63,39,Urban,Yes,Yes,Neurology,No,2011
Hospital 3521,123,91,86,Rural,No,Yes,None,No,1955
Hospital 3522,404,28,3,Rural,Yes,Yes,Oncology,Yes,1981
Hospital 3523,136,19,27,Urban,Yes,No,Cardiology,No,1954
Hospital 3524,468,91,23,Urban,No,No,Oncology,No,1961
Hospital 3525,285,42,68,Urban,No,Yes,Orthopedics,No,1990
Hospital 3526,419,52,96,Rural,No,Yes,Oncology,Yes,1989
Hospital 3527,351,89,78,Urban,Yes,Yes,Oncology,No,1983
Hospital 3528,136,32,87,Rural,Yes,No,General,Yes,1976
Hospital 3529,99,71,29,Urban,Yes,No,Oncology,Yes,1965
Hospital 3530,127,43,57,Urban,Yes,No,None,No,1963
Hospital 3531,155,28,93,Urban,Yes,No,Orthopedics,No,2006
Hospital 3532,249,91,65,Rural,No,Yes,None,Yes,1973
Hospital 3533,51,100,78,Urban,No,Yes,General,Yes,2007
Hospital 3534,378,70,10,Urban,No,Yes,Oncology,No,1976
Hospital 3535,473,79,24,Rural,No,No,None,No,1952
Hospital 3536,325,57,28,Rural,No,No,Cardiology,Yes,1959
Hospital 3537,482,11,26,Urban,No,Yes,Cardiology,No,1977
Hospital 3538,22,84,91,Rural,Yes,No,None,Yes,1986
Hospital 3539,42,13,96,Rural,No,No,Orthopedics,No,1978
Hospital 3540,143,85,95,Rural,No,Yes,Oncology,No,1975
Hospital 3541,226,46,47,Rural,No,No,General,No,1965
Hospital 3542,377,92,89,Urban,Yes,Yes,Oncology,Yes,2014
Hospital 3543,402,1,64,Rural,Yes,No,Neurology,Yes,1952
Hospital 3544,188,90,91,Urban,Yes,No,Cardiology,Yes,1958
Hospital 3545,464,13,61,Urban,No,Yes,Neurology,No,2020
Hospital 3546,91,20,43,Urban,No,No,Neurology,Yes,1950
Hospital 3547,30,68,56,Rural,Yes,Yes,Orthopedics,Yes,1953
Hospital 3548,418,3,53,Rural,Yes,Yes,Cardiology,Yes,1989
Hospital 3549,34,48,95,Rural,Yes,No,Oncology,Yes,1977
Hospital 3550,402,45,23,Rural,Yes,Yes,Orthopedics,No,1956
Hospital 3551,87,26,4,Urban,No,Yes,Neurology,Yes,1953
Hospital 3552,164,2,48,Rural,No,Yes,Neurology,No,2009
Hospital 3553,425,18,5,Rural,No,No,General,Yes,2017
Hospital 3554,494,60,46,Urban,No,No,Cardiology,No,2007
Hospital 3555,415,38,6,Urban,Yes,Yes,Orthopedics,Yes,1990
Hospital 3556,160,93,72,Rural,No,Yes,Neurology,No,1950
Hospital 3557,327,88,76,Rural,Yes,Yes,None,Yes,1982
Hospital 3558,368,11,100,Rural,Yes,Yes,General,Yes,2011
Hospital 3559,186,91,28,Rural,Yes,Yes,Cardiology,Yes,2015
Hospital 3560,226,11,33,Urban,Yes,Yes,Neurology,No,1983
Hospital 3561,419,42,23,Rural,No,Yes,Cardiology,No,2006
Hospital 3562,129,56,59,Rural,No,No,Cardiology,Yes,2008
Hospital 3563,250,89,87,Urban,No,Yes,Cardiology,No,2022
Hospital 3564,296,77,85,Urban,Yes,No,Orthopedics,Yes,1982
Hospital 3565,24,0,75,Urban,No,Yes,Orthopedics,Yes,2009
Hospital 3566,91,98,64,Rural,No,No,General,Yes,1985
Hospital 3567,433,62,47,Urban,Yes,No,Cardiology,No,2006
Hospital 3568,400,99,7,Urban,No,Yes,Neurology,No,2012
Hospital 3569,470,21,39,Rural,No,Yes,General,No,1958
Hospital 3570,440,63,19,Urban,No,No,Orthopedics,No,1975
Hospital 3571,98,47,0,Urban,Yes,Yes,Orthopedics,Yes,1972
Hospital 3572,290,68,95,Urban,No,Yes,Orthopedics,No,1955
Hospital 3573,307,42,87,Rural,Yes,No,Orthopedics,No,1960
Hospital 3574,400,72,63,Urban,Yes,Yes,Orthopedics,Yes,1964
Hospital 3575,115,25,76,Urban,No,No,Cardiology,No,1951
Hospital 3576,228,78,2,Rural,Yes,No,Orthopedics,No,1979
Hospital 3577,413,18,30,Urban,No,No,Orthopedics,No,1953
Hospital 3578,67,12,40,Urban,Yes,Yes,Oncology,Yes,2017
Hospital 3579,178,4,34,Rural,No,No,Neurology,No,1965
Hospital 3580,305,11,69,Rural,No,No,Cardiology,Yes,2004
Hospital 3581,113,29,34,Rural,No,No,Neurology,Yes,1969
Hospital 3582,297,27,68,Rural,No,Yes,Neurology,Yes,2019
Hospital 3583,157,36,63,Urban,No,No,Oncology,No,1982
Hospital 3584,345,67,35,Urban,No,No,General,No,1996
Hospital 3585,219,84,69,Rural,No,No,Oncology,Yes,2003
Hospital 3586,359,51,53,Rural,No,Yes,Orthopedics,No,2005
Hospital 3587,89,67,84,Rural,No,Yes,Neurology,No,1972
Hospital 3588,482,17,53,Urban,Yes,Yes,Oncology,Yes,1974
Hospital 3589,48,68,16,Rural,No,Yes,Orthopedics,Yes,1992
Hospital 3590,336,50,86,Rural,No,Yes,Cardiology,Yes,1968
Hospital 3591,37,89,50,Rural,No,Yes,Neurology,No,1995
Hospital 3592,207,92,29,Urban,No,Yes,General,Yes,1982
Hospital 3593,243,28,5,Urban,Yes,No,General,Yes,1984
Hospital 3594,92,82,58,Urban,No,No,Cardiology,No,1976
Hospital 3595,95,17,48,Urban,Yes,Yes,None,No,2018
Hospital 3596,412,25,79,Rural,Yes,No,Orthopedics,No,2019
Hospital 3597,122,74,64,Urban,No,No,General,No,2005
Hospital 3598,423,56,45,Urban,Yes,No,Cardiology,No,1957
Hospital 3599,327,46,17,Rural,No,Yes,Neurology,No,2014
Hospital 3600,452,87,71,Urban,No,No,Neurology,Yes,1997
Hospital 3601,267,78,36,Rural,No,No,Oncology,No,2003
Hospital 3602,292,69,81,Urban,Yes,Yes,Neurology,Yes,1958
Hospital 3603,310,44,44,Urban,No,Yes,None,Yes,2001
Hospital 3604,353,1,30,Rural,Yes,No,None,Yes,1964
Hospital 3605,441,45,24,Rural,No,Yes,Oncology,Yes,1953
Hospital 3606,170,32,51,Urban,No,No,Cardiology,Yes,2016
Hospital 3607,228,31,47,Urban,No,Yes,Cardiology,Yes,2004
Hospital 3608,60,88,96,Urban,Yes,No,Oncology,Yes,1951
Hospital 3609,430,84,54,Rural,Yes,Yes,Orthopedics,Yes,1979
Hospital 3610,357,74,51,Urban,Yes,No,None,Yes,1958
Hospital 3611,212,17,81,Urban,No,Yes,Cardiology,No,1981
Hospital 3612,456,22,52,Rural,Yes,Yes,Orthopedics,Yes,1976
Hospital 3613,488,33,71,Urban,Yes,Yes,Oncology,No,1952
Hospital 3614,116,89,75,Rural,No,No,General,Yes,1969
Hospital 3615,233,3,49,Rural,No,Yes,Oncology,Yes,1973
Hospital 3616,389,46,35,Urban,No,Yes,Neurology,Yes,1999
Hospital 3617,288,87,87,Urban,Yes,No,Orthopedics,No,1978
Hospital 3618,403,91,65,Rural,No,No,Neurology,Yes,2014
Hospital 3619,304,92,96,Urban,No,Yes,Cardiology,No,1997
Hospital 3620,193,23,88,Urban,Yes,Yes,Cardiology,Yes,2023
Hospital 3621,218,65,86,Rural,Yes,No,General,No,1980
Hospital 3622,255,78,53,Urban,Yes,No,Cardiology,Yes,1979
Hospital 3623,315,59,30,Rural,Yes,Yes,Neurology,No,1964
Hospital 3624,447,67,36,Rural,No,Yes,None,Yes,2017
Hospital 3625,234,44,3,Rural,No,No,Cardiology,No,2023
Hospital 3626,120,1,73,Rural,Yes,Yes,Cardiology,No,1955
Hospital 3627,39,4,79,Urban,No,No,Cardiology,No,2004
Hospital 3628,419,10,42,Urban,No,Yes,None,Yes,1979
Hospital 3629,261,82,64,Urban,Yes,Yes,Cardiology,Yes,1999
Hospital 3630,25,76,10,Urban,Yes,No,Oncology,Yes,1953
Hospital 3631,310,56,12,Rural,Yes,Yes,Oncology,Yes,1970
Hospital 3632,319,96,83,Urban,Yes,Yes,Cardiology,No,1959
Hospital 3633,354,80,54,Rural,No,Yes,None,Yes,2000
Hospital 3634,196,64,23,Urban,No,Yes,None,Yes,1980
Hospital 3635,122,21,55,Rural,No,No,Oncology,Yes,1963
Hospital 3636,250,54,48,Urban,No,Yes,None,Yes,2021
Hospital 3637,452,73,43,Rural,Yes,No,Cardiology,Yes,1966
Hospital 3638,292,58,16,Urban,No,Yes,None,No,2004
Hospital 3639,181,4,9,Urban,No,No,Orthopedics,Yes,2016
Hospital 3640,378,74,11,Urban,Yes,No,Cardiology,Yes,2011
Hospital 3641,383,78,22,Urban,Yes,No,None,No,1999
Hospital 3642,148,14,29,Urban,No,Yes,Neurology,Yes,2002
Hospital 3643,470,79,22,Rural,No,Yes,Cardiology,Yes,1957
Hospital 3644,240,90,89,Urban,Yes,Yes,None,No,1979
Hospital 3645,339,72,26,Rural,Yes,No,None,Yes,1985
Hospital 3646,167,68,48,Urban,Yes,No,Neurology,No,1968
Hospital 3647,482,37,100,Urban,No,Yes,General,Yes,1975
Hospital 3648,225,79,64,Rural,Yes,No,Oncology,Yes,1978
Hospital 3649,39,83,17,Urban,No,Yes,None,Yes,1999
Hospital 3650,30,94,20,Rural,No,Yes,Cardiology,No,2006
Hospital 3651,401,61,22,Urban,No,Yes,General,Yes,2005
Hospital 3652,196,57,34,Rural,Yes,Yes,General,No,2022
Hospital 3653,113,68,76,Rural,Yes,Yes,Cardiology,Yes,1998
Hospital 3654,350,83,85,Urban,No,No,Cardiology,Yes,1989
Hospital 3655,229,92,7,Urban,Yes,No,Neurology,Yes,1958
Hospital 3656,311,65,78,Rural,Yes,No,None,No,1956
Hospital 3657,280,100,66,Rural,Yes,No,Orthopedics,No,1999
Hospital 3658,257,43,25,Urban,Yes,Yes,Oncology,Yes,2013
Hospital 3659,299,19,46,Urban,No,No,None,Yes,2022
Hospital 3660,470,11,70,Urban,Yes,No,Orthopedics,No,1992
Hospital 3661,79,8,55,Urban,No,Yes,Oncology,No,1957
Hospital 3662,144,19,76,Rural,No,Yes,Orthopedics,No,2012
Hospital 3663,418,98,57,Rural,Yes,No,General,Yes,2004
Hospital 3664,382,92,3,Urban,No,Yes,None,Yes,2012
Hospital 3665,203,33,25,Rural,Yes,Yes,None,Yes,2022
Hospital 3666,462,6,46,Rural,No,No,Orthopedics,Yes,2000
Hospital 3667,230,23,53,Rural,No,Yes,General,No,1999
Hospital 3668,78,60,5,Rural,Yes,No,General,No,1950
Hospital 3669,85,46,3,Urban,No,No,Orthopedics,Yes,1958
Hospital 3670,34,77,38,Urban,Yes,No,Cardiology,Yes,2015
Hospital 3671,432,100,22,Rural,Yes,Yes,Orthopedics,No,1965
Hospital 3672,108,80,79,Urban,Yes,No,None,No,1996
Hospital 3673,319,13,84,Urban,Yes,No,Oncology,Yes,1969
Hospital 3674,459,5,73,Urban,No,No,None,No,2009
Hospital 3675,49,77,27,Rural,Yes,Yes,Orthopedics,Yes,2018
Hospital 3676,231,79,37,Rural,No,Yes,Oncology,Yes,1961
Hospital 3677,467,75,18,Urban,Yes,No,None,No,1970
Hospital 3678,299,65,92,Urban,No,No,Neurology,No,1979
Hospital 3679,186,91,6,Urban,No,No,Orthopedics,No,1966
Hospital 3680,146,2,19,Urban,Yes,No,Oncology,Yes,2016
Hospital 3681,306,49,35,Rural,No,No,Oncology,Yes,2018
Hospital 3682,296,15,13,Rural,No,Yes,General,Yes,1961
Hospital 3683,308,61,96,Urban,Yes,Yes,Neurology,Yes,1952
Hospital 3684,286,84,67,Urban,No,No,None,No,1954
Hospital 3685,81,9,68,Rural,No,No,Neurology,No,1998
Hospital 3686,331,93,11,Rural,No,No,None,Yes,1957
Hospital 3687,164,38,7,Urban,No,No,Orthopedics,No,2019
Hospital 3688,88,2,35,Urban,No,No,Cardiology,Yes,1971
Hospital 3689,499,95,13,Rural,Yes,No,Cardiology,Yes,1977
Hospital 3690,282,82,64,Rural,Yes,No,General,Yes,1972
Hospital 3691,316,6,43,Rural,No,No,None,Yes,1972
Hospital 3692,319,65,28,Urban,Yes,No,Orthopedics,Yes,1967
Hospital 3693,485,67,19,Urban,Yes,Yes,Orthopedics,No,1952
Hospital 3694,335,70,99,Rural,No,No,None,Yes,2005
Hospital 3695,370,10,2,Rural,No,Yes,General,No,1952
Hospital 3696,450,80,81,Urban,No,Yes,None,Yes,2014
Hospital 3697,343,0,71,Urban,Yes,No,General,No,1952
Hospital 3698,349,25,100,Rural,No,Yes,None,No,1957
Hospital 3699,372,10,19,Rural,No,Yes,Neurology,No,2001
Hospital 3700,165,46,28,Rural,No,Yes,Oncology,No,2005
Hospital 3701,350,60,85,Rural,Yes,Yes,Cardiology,No,1987
Hospital 3702,226,97,39,Urban,No,No,Neurology,Yes,1996
Hospital 3703,230,88,52,Urban,Yes,Yes,Orthopedics,No,1950
Hospital 3704,52,6,4,Rural,Yes,Yes,Neurology,Yes,1977
Hospital 3705,265,40,71,Rural,No,Yes,Orthopedics,No,1993
Hospital 3706,171,57,36,Rural,No,No,Neurology,No,2002
Hospital 3707,199,78,37,Rural,No,No,Orthopedics,Yes,1978
Hospital 3708,379,84,75,Urban,Yes,Yes,Oncology,Yes,1962
Hospital 3709,259,30,32,Rural,No,No,Neurology,Yes,1967
Hospital 3710,356,76,15,Urban,No,Yes,Oncology,No,1980
Hospital 3711,235,98,73,Urban,No,Yes,Orthopedics,Yes,1980
Hospital 3712,97,15,82,Urban,Yes,No,Oncology,No,2006
Hospital 3713,232,12,31,Rural,No,No,None,Yes,1971
Hospital 3714,293,71,11,Rural,Yes,No,Oncology,Yes,1967
Hospital 3715,61,44,43,Urban,Yes,No,Neurology,No,1991
Hospital 3716,89,100,71,Urban,Yes,Yes,General,No,1985
Hospital 3717,23,10,26,Urban,No,Yes,Neurology,Yes,2023
Hospital 3718,111,8,94,Rural,Yes,No,Neurology,Yes,1993
Hospital 3719,270,78,73,Rural,No,No,None,No,2021
Hospital 3720,189,47,77,Urban,No,No,General,Yes,2018
Hospital 3721,395,45,17,Rural,No,Yes,Orthopedics,Yes,1995
Hospital 3722,147,86,48,Urban,No,No,General,Yes,2011
Hospital 3723,119,25,60,Rural,Yes,No,General,No,2009
Hospital 3724,148,50,83,Urban,No,No,Oncology,Yes,1992
Hospital 3725,174,54,100,Rural,No,Yes,Orthopedics,Yes,2018
Hospital 3726,410,11,71,Urban,Yes,No,Orthopedics,No,1997
Hospital 3727,44,71,82,Urban,No,Yes,None,Yes,1994
Hospital 3728,393,30,78,Urban,No,No,Cardiology,No,1998
Hospital 3729,409,60,69,Rural,Yes,Yes,Neurology,No,1997
Hospital 3730,289,0,94,Rural,Yes,No,None,Yes,1985
Hospital 3731,390,39,17,Urban,No,Yes,General,No,2009
Hospital 3732,282,67,99,Urban,No,Yes,None,Yes,2003
Hospital 3733,331,17,72,Rural,Yes,Yes,General,No,1964
Hospital 3734,365,19,95,Rural,No,No,Orthopedics,No,2002
Hospital 3735,116,94,4,Rural,Yes,Yes,General,No,1994
Hospital 3736,462,14,12,Urban,Yes,No,General,No,1950
Hospital 3737,88,41,2,Rural,Yes,Yes,General,Yes,1978
Hospital 3738,468,35,36,Urban,No,No,General,Yes,1952
Hospital 3739,423,38,23,Urban,Yes,No,None,Yes,2012
Hospital 3740,349,2,72,Urban,Yes,No,Neurology,No,1950
Hospital 3741,497,61,95,Urban,No,Yes,Neurology,No,1984
Hospital 3742,360,25,88,Rural,No,Yes,Orthopedics,No,1996
